亲,pos,85714,7178,10672,10266,28447,7663,10218,11270
仁,pos,59259,4987,6898,6023,23932,4803,5918,6698
恩,pos,41723,1930,5393,4079,18044,3582,4704,3991
爱,pos,35635,4087,5329,4205,12083,1647,4228,4056
悯,pos,1661,39,84,96,815,190,246,191
赠,pos,23743,216,2946,4182,8834,2907,1940,2718
养,pos,35364,3358,5179,4708,11353,2368,4522,3876,（多义）
惠,pos,30370,4079,5939,3784,10307,2288,1826,2147
抚,pos,30056,636,2952,2653,10861,4570,3020,5364
救,pos,26536,3156,3558,2467,9358,1330,3894,2773
护,pos,22903,840,3292,4685,7725,2147,2600,1614
宠,pos,16429,1376,3597,1866,6955,792,949,894
慈,pos,14943,762,2671,2392,5346,944,1536,1292
援,pos,14537,572,2192,1632,6248,1575,891,1427
慰,pos,11444,142,1533,1104,4999,758,1825,1083
育,pos,8544,627,1772,1509,2958,473,604,601
赈,pos,4211,78,467,169,1818,193,1333,153
恤,pos,8356,630,1287,801,3285,908,639,806
怜,pos,8126,466,702,607,2283,369,1949,1750
恕,pos,6405,164,694,503,2977,564,595,908
杀,nag,82714,11607,11565,8536,28946,6300,10576,5184
攻,nag,43712,5245,6254,4696,18101,3307,3511,2598,（多义）
害,nag,38551,4337,4904,4419,14313,3300,4103,3175
伐,nag,34307,8876,5484,3943,10344,2367,1567,1726,（多义）
诛,nag,32574,5279,5479,3879,11943,2438,1732,1824
伤,nag,31268,4333,5035,2878,8864,1818,4911,3429
祸,nag,21427,3142,3737,2487,7045,1360,1864,1792
凶,nag,18279,2252,3511,2820,6016,1048,1392,1240
损,nag,18270,1264,2693,1999,6280,2859,2050,1125
暴,nag,16936,2432,2702,1983,6055,1264,1281,1219
毒,nag,15353,1016,1948,1526,2661,409,6929,864
毁,nag,14733,1541,2621,2357,4797,1218,994,1205
侵,nag,14533,1993,1721,1496,5694,1438,1172,1019
残,nag,12794,708,1504,1180,4650,706,1539,2507
戮,nag,8901,795,1719,1373,3418,553,585,458
屠,nag,6798,770,1107,785,2449,537,585,565
弑,nag,4584,1966,411,302,959,325,175,446
戕,nag,514,51,25,29,124,50,84,151
灭,nag,30095,4699,6357,5325,7923,1454,2152,2185
虐,nag,4653,529,922,564,1573,267,306,492
诅,nag,794,243,84,102,203,55,28,79
击,nag,42349,6251,6092,4486,17013,3394,2006,3107
殴,nag,1320,34,78,129,450,128,276,225
斩,nag,28096,2320,4217,3559,12014,1967,2298,1721
---
安抚,pos,5124,5,26,72,2507,1693,663,158
人道,pos,4500,262,272,217,695,96,1591,1367
睦,pos,3823,260,546,418,1497,435,361,306
供养,pos,3476,90,1036,1316,584,32,355,63
佑,pos,3284,128,187,129,1406,386,664,384
恻,pos,2980,147,508,248,1365,143,206,363
拯,pos,2927,44,550,362,1308,324,147,192
安定,pos,2711,183,659,505,905,233,109,117
庇,pos,2025,106,232,184,868,112,207,316
悯,pos,1661,39,84,96,815,190,246,191
善人,pos,1647,320,312,211,519,60,91,134
伺候,pos,1223,16,36,38,118,14,344,657
恩泽,pos,1150,70,122,73,582,156,83,64
和平,pos,1136,110,182,121,406,78,60,179
贡献,pos,1121,48,275,148,475,110,24,41
平安,pos,991,46,130,37,161,29,364,224
恻隐,pos,914,46,69,34,525,12,48,180
慈悲,pos,869,1,156,212,166,12,232,90
慰劳,pos,827,7,170,118,379,49,64,40
友善,pos,815,19,105,101,377,47,110,56
煦,pos,755,18,80,68,267,85,45,192
珍重,pos,595,5,13,11,405,5,71,85
扶持,pos,584,28,53,40,222,56,134,51
宽厚,pos,581,25,61,89,263,69,32,42
保护,pos,553,4,31,26,170,39,169,114
善心,pos,518,31,66,211,136,7,45,22
仁厚,pos,516,33,49,38,274,43,34,45
抚慰,pos,512,6,70,86,216,49,59,26
赈恤,pos,512,1,126,40,254,15,65,11
仁恕,pos,497,14,62,82,272,33,19,15
哀矜,pos,495,21,120,65,240,28,14,7
宽仁,pos,479,40,67,55,217,27,47,26
行善,pos,406,94,74,84,67,7,35,45
存恤,pos,404,17,38,22,208,52,55,12
惠政,pos,400,3,52,120,127,32,19,47
慈爱,pos,393,47,68,81,141,14,24,18
利民,pos,381,63,68,31,126,43,25,25
平复,pos,368,15,98,51,109,9,45,41
守护,pos,366,2,62,109,73,22,83,15
哀怜,pos,334,53,44,27,153,11,27,19
救人,pos,332,25,23,25,101,11,105,42
仁德,pos,320,47,48,25,74,51,59,16
惠民,pos,306,12,22,2,99,120,36,15
宽和,pos,305,22,67,69,111,10,14,12
温柔,pos,304,20,35,31,52,16,50,100
安康,pos,303,5,23,61,91,38,39,46
救护,pos,288,4,40,54,79,16,78,17
和睦,pos,283,57,56,26,68,7,42,27
施惠,pos,283,63,47,51,99,11,7,5
恩情,pos,272,4,42,23,51,7,71,74
慈惠,pos,262,62,32,24,98,17,18,11

杀人,nag,4906,590,553,384,1561,544,850,424
桀,nag,4683,1531,739,458,1243,148,148,416
虐,nag,4653,529,922,564,1573,267,306,492
戾,nag,3982,549,738,481,1269,311,209,425
酷,nag,3656,219,728,531,1233,269,313,363
侮,nag,3260,385,528,350,1276,196,257,268
自杀,nag,3179,970,656,228,911,181,96,137
剥,nag,2921,223,360,281,982,174,553,348
撞,nag,2414,96,114,117,344,141,1250,352
殄,nag,2368,151,647,402,820,125,101,122
厄,nag,2319,263,349,382,696,109,318,202
殃,nag,2291,511,416,430,410,117,206,201
殇,nag,2172,249,543,632,365,87,55,241
不仁,nag,2000,419,239,142,721,49,208,222
刑罚,nag,1962,532,346,237,549,164,56,78
伤人,nag,1343,242,205,118,312,98,270,98
征讨,nag,1322,38,202,286,535,85,123,53
进攻,nag,1122,9,133,140,614,86,87,53
杀伤,nag,1117,99,130,125,512,147,67,37
剿,nag,955,1,53,40,146,48,202,465
剔,nag,923,42,97,65,230,70,199,220
害人,nag,922,154,109,104,244,42,169,100
杀戮,nag,888,58,79,97,446,78,88,42
歼,nag,886,29,215,109,290,88,52,103
谋杀,nag,784,62,95,76,329,95,83,44
暴虐,nag,688,145,128,68,212,33,41,61
殛,nag,686,97,132,45,265,23,30,94
死伤,nag,685,91,93,71,303,64,34,29
杀害,nag,658,3,138,153,220,16,111,17
攻取,nag,647,62,59,63,287,60,84,32
脔,nag,591,25,76,89,224,52,54,71
大骂,nag,545,5,25,27,122,44,247,75
