公,pos,284027,45012,35278,31368,95927,20469,26165,29808,（多义）
平,pos,163266,12336,24016,20592,56251,18172,15905,15994,（多义）
衡,pos,19031,2097,3005,3020,5974,1649,1279,2007,（多义）
均,pos,15727,849,2503,2189,5625,1937,778,1846,（多义）
允,pos,16278,440,2820,1775,6085,1671,1382,2105,（多义）
私,nag,33645,2962,3987,3029,13433,3291,2863,4080
贪,nag,12049,1311,1825,1767,3878,754,1333,1181
阿,nag,26770,1095,4850,5050,6108,2709,4661,2297,（多义）
吝,nag,2285,92,446,291,901,148,209,198
啬,nag,1251,257,149,116,397,97,81,154
党,nag,21899,1517,2960,2325,8833,2319,1354,2591,（多义）
偏,nag,12454,616,1849,1212,3561,789,1636,2791
枉,nag,6391,438,1034,681,2162,413,846,817
---

正,pos,183066,17995,24482,19166,50822,19855,22188,28558,（多义）

方正,pos,1561,161,233,121,648,186,82,130
正直,pos,1526,191,210,220,529,112,144,120
公道,pos,1445,30,81,61,226,43,463,541
实在,pos,1296,18,170,115,293,37,72,591
规矩,pos,1265,159,145,116,261,55,106,423
刑法,pos,1255,137,169,158,498,168,43,82
平等,pos,1195,44,156,231,394,53,183,134
正当,pos,1159,36,112,133,474,62,187,155
一样,pos,1067,1,2,4,132,4,176,748
诚意,pos,881,2,3,3,399,39,122,313
刑名,pos,865,76,60,67,352,132,68,110
法制,pos,796,85,74,72,340,94,51,80
报仇,pos,789,96,64,41,198,38,191,161
中立,pos,748,52,96,56,317,94,62,71
公正,pos,736,89,89,122,260,54,59,63
正名,pos,719,99,79,83,234,99,48,77
不讳,pos,685,108,102,91,205,34,33,112
权衡,pos,682,103,69,77,191,108,36,98
道义,pos,661,38,109,68,304,30,68,44
法律,pos,660,97,112,100,190,69,30,62
青天,pos,657,9,33,77,197,47,171,123
大方,pos,641,23,106,233,87,48,59,85
报应,pos,640,23,136,99,226,19,85,52
守正,pos,624,40,72,55,283,54,55,65
悔过,pos,621,76,113,130,177,29,58,38
抵罪,pos,602,93,125,26,194,96,30,38
信义,pos,555,20,108,93,242,29,39,24
问罪,pos,554,1,36,53,270,60,98,36
赎罪,pos,550,62,71,48,162,62,46,99
公平,pos,543,43,54,70,236,42,62,36
国法,pos,533,35,63,76,165,45,75,74
仁厚,pos,516,33,49,38,274,43,34,45
司法,pos,512,3,2,43,286,114,44,20
诚信,pos,486,88,69,81,195,12,26,15
相称,pos,482,40,49,74,158,22,62,77
守法,pos,481,49,37,37,226,52,38,42
宽仁,pos,479,40,67,55,217,27,47,26
积德,pos,479,89,121,54,135,14,36,30
刚直,pos,478,43,59,47,179,58,44,48
报德,pos,453,57,94,59,148,14,29,52
大公,pos,427,26,8,11,147,26,68,141
牵制,pos,424,13,23,8,257,57,27,39
质直,pos,413,25,74,90,134,47,10,33
绳墨,pos,409,90,74,48,106,18,31,42
公义,pos,399,44,68,55,179,16,16,21
信用,pos,386,84,52,41,136,20,29,24
自悔,pos,376,45,56,42,99,17,45,72
报效,pos,374,4,41,27,109,14,63,116
守信,pos,371,16,25,14,189,98,20,9
有权,pos,359,32,47,29,135,36,30,50
廉洁,pos,355,42,36,50,129,37,20,41
应当,pos,347,14,69,113,41,2,66,42
知法,pos,332,28,38,55,88,68,41,14
笃实,pos,332,4,18,17,81,16,26,170
相等,pos,329,37,14,20,78,19,52,109
不偏,pos,328,50,47,29,115,6,25,56
明理,pos,320,9,51,21,96,14,36,93
义行,pos,317,48,68,29,106,14,10,42
各得其所,pos,317,105,49,20,90,13,12,28
报复,pos,309,13,33,28,84,42,33,76
正气,pos,306,62,28,23,66,14,59,54
循理,pos,305,58,32,15,125,13,23,39
职分,pos,304,10,27,36,151,27,27,26
严明,pos,301,4,55,48,119,25,29,21
纪律,pos,296,4,3,4,141,64,51,29
义举,pos,291,12,50,67,113,6,9,34
刚正,pos,283,4,11,27,116,36,33,56
知罪,pos,278,47,38,31,88,17,24,33
公心,pos,267,20,22,14,110,28,33,40
清廉,pos,266,27,40,33,100,15,26,25
诚实,pos,264,6,30,16,129,23,30,30
报答,pos,257,5,26,23,77,5,82,39
准绳,pos,257,46,35,29,75,17,16,39
法治,pos,254,43,57,41,50,16,25,22
均平,pos,231,6,26,41,94,25,15,24
折狱,pos,228,19,38,30,94,17,3,27
复仇,pos,223,6,12,18,77,26,23,61
仗义,pos,222,4,23,9,50,9,87,40
追悔,pos,218,5,26,32,89,9,31,26
清正,pos,216,4,27,46,78,5,24,32
同等,pos,210,16,39,30,70,20,18,17
权利,pos,208,49,31,12,66,14,9,27
齐一,pos,208,23,35,29,64,18,12,27
平反,pos,208,10,3,14,57,45,42,37



冒,nag,8025,660,975,613,2868,671,818,1420
蔽,nag,8000,1061,1130,826,2571,703,688,1021
窦,nag,7792,563,1375,771,3579,524,467,513
罔,nag,7594,782,1517,845,3002,414,457,577
诡,nag,7458,688,1434,978,2256,570,604,928
诞,nag,7274,257,1805,1099,2648,432,431,602
不当,nag,7145,921,610,367,2721,788,574,1164
枉,nag,6391,438,1034,681,2162,413,846,817
构,nag,6115,166,1137,1178,2469,335,423,407
匿,nag,5895,871,868,651,1995,478,492,540
贿,nag,5262,358,432,906,1654,432,450,1030
贿,nag,5262,358,432,906,1654,432,450,1030
徇,nag,4155,392,538,393,1739,431,265,397
狡,nag,4012,318,856,460,1430,214,300,434
狡,nag,4012,318,856,460,1430,214,300,434
猾,nag,3618,508,690,406,1294,258,220,242
猾,nag,3618,508,690,406,1294,258,220,242
僻,nag,3181,304,320,368,1004,204,447,534
攘,nag,2807,342,411,322,960,170,257,345
谩,nag,2754,316,72,64,1046,250,582,424
谩,nag,2754,316,72,64,1046,250,582,424
孽,nag,2727,381,333,302,621,214,516,360
诳,nag,2682,184,478,552,740,80,396,252
诳,nag,2682,184,478,552,740,80,396,252
媒,nag,2157,165,131,194,315,93,653,606
纵横,nag,2077,63,326,237,724,93,264,370
谲,nag,2048,184,472,320,610,124,132,206
谲,nag,2048,184,472,320,610,124,132,206
不义,nag,1589,456,200,125,526,56,131,95
訾,nag,1422,369,188,98,408,100,69,190
非法,nag,906,67,184,179,251,78,80,67
无赖,nag,843,16,84,77,299,68,110,189
失职,nag,779,118,53,79,338,90,48,53
不均,nag,748,55,88,68,270,138,64,65
姑息,nag,635,5,17,10,439,80,35,49
阴谋,nag,619,86,90,80,212,61,33,57
流言,nag,595,72,101,58,221,29,52,62
欺罔,nag,593,11,22,13,410,52,32,53
无信,nag,538,103,61,70,194,19,42,49
惑众,nag,538,43,74,53,210,47,69,42
失信,nag,521,22,49,41,257,48,82,22
恩宠,nag,515,14,84,46,292,30,25,24
违法,nag,498,1,24,38,344,56,20,15
上当,nag,472,21,131,90,96,20,19,95
枉法,nag,453,40,35,44,186,57,53,38
妖言,nag,446,48,63,42,133,42,63,55
不公,nag,441,26,25,14,189,53,68,66
刺客,nag,401,33,90,53,149,19,26,31
冤枉,nag,398,4,42,18,72,27,67,168
诬告,nag,376,13,27,35,189,44,37,31
自欺,nag,366,9,10,18,198,9,30,92
奸猾,nag,323,65,78,26,105,21,15,13
反间,nag,313,31,17,41,177,8,25,14
奸党,nag,312,6,30,9,109,29,50,79
奸诈,nag,305,45,31,37,139,16,35,2
冤狱,nag,282,15,46,19,93,56,20,33
刻薄,nag,274,5,18,19,115,26,26,65
徇私,nag,262,7,7,12,126,37,31,42
蒙蔽,nag,244,8,20,12,103,23,25,53
阿附,nag,234,12,46,8,93,29,22,24
贪污,nag,231,20,45,25,72,26,22,21
营私,nag,217,15,38,12,90,22,10,30
虚伪,nag,207,37,66,21,62,4,10,7
