清,pos,71407,2508,10686,9968,23816,5783,9303,9343,（多义）
贞,pos,26587,1110,2221,3819,13099,2286,1627,2425
雅,pos,25460,1199,3762,5085,6505,1749,1672,5488,（多义）
净,pos,12146,108,2129,3113,2069,321,3280,1126
纯,pos,11625,817,1813,1409,3662,1333,897,1694
洁,pos,6288,451,892,884,2003,548,752,758
淑,pos,4656,245,944,627,1390,478,382,590
邪,nag,31628,5053,6292,4282,9876,2137,2288,1700
淫,nag,10729,2045,1867,1557,1987,553,1522,1198
荡,nag,10530,750,1999,1551,2951,603,1349,1327
贱,nag,14145,2502,2280,1902,4267,854,1181,1159
浊,nag,6119,754,1111,775,1458,998,513,510
妖,nag,9981,568,1264,884,2099,685,3523,958
污,nag,4922,632,773,622,1443,280,621,551
渎,nag,4163,373,799,514,1138,521,398,420
秽,nag,4099,296,1103,827,992,139,431,311
狎,nag,2014,125,205,379,699,81,163,362
亵,nag,856,42,64,128,209,76,122,215
脏,nag,1418,42,64,24,203,34,910,141
---
恪,pos,9240,132,1826,1498,4058,524,532,670
恪,pos,9240,132,1826,1498,4058,524,532,670
懿,pos,9038,488,1694,771,3059,1038,1105,883
祭祀,pos,8038,1168,760,2150,1982,938,498,542
祭祀,pos,8038,1168,760,2150,1982,938,498,542
菩萨,pos,7639,2,1989,3085,612,49,1648,254
酌,pos,7560,347,614,1146,2399,1451,768,835
祈,pos,6521,328,810,1097,2274,885,587,540
灌,pos,6169,869,1040,790,1609,342,885,634
朴,pos,6158,499,703,552,1937,586,1033,848
扫,pos,5952,107,572,973,2045,413,959,883
璞,pos,5212,465,2205,948,776,117,368,333
上帝,pos,4970,589,603,615,1598,907,258,400
尔雅,pos,4832,268,658,1237,790,172,428,1279
皓,pos,4754,144,1485,743,1446,317,354,265
粹,pos,4668,190,720,480,1624,438,384,832
粹,pos,4668,190,720,480,1624,438,384,832
祭酒,pos,4108,123,586,898,1373,494,247,387
祇,pos,4101,204,926,657,1701,234,97,282
洒,pos,4087,243,574,478,1082,187,852,671
祷,pos,4045,331,406,405,1458,484,553,408
沐,pos,4029,435,581,545,1143,187,588,550
如来,pos,3967,4,1105,1593,477,67,666,55
蠲,pos,3757,80,516,236,1333,1090,220,282
祯,pos,3569,28,255,316,506,88,245,2131
禧,pos,3569,14,231,172,1361,1350,225,216
天命,pos,3522,451,569,412,1162,171,260,497
庞,pos,3493,201,567,169,1394,267,524,371
浴,pos,3483,255,646,649,919,143,598,273
天道,pos,3482,753,582,416,941,193,236,361
真人,pos,3405,897,223,192,753,124,956,260
神明,pos,3389,609,698,408,921,175,285,293
圣贤,pos,3083,178,280,194,1202,133,307,789
神仙,pos,2979,70,256,208,1112,206,722,405
因缘,pos,2674,41,565,990,579,91,328,80
无罪,pos,2666,496,305,258,1018,204,197,188
