省,pos,50691,1511,4362,4336,17714,7982,8960,5826,（多义）
简,pos,25591,1677,2863,3187,10236,2543,1780,3305,（多义）
廉,pos,15307,1672,2169,1406,4873,1323,2054,1810
惜,pos,12426,373,1410,1223,4476,914,1847,2183,（多义）
俭,pos,11470,639,2124,1855,4975,686,490,701
朴,pos,6158,499,703,552,1937,586,1033,848
靡,nag,10681,1384,2844,1483,3069,517,544,840
滥,nag,5468,280,752,723,1964,556,400,793
奢,nag,4851,773,940,665,1760,190,203,320
侈,nag,4117,611,587,480,1560,322,185,372
冗,nag,2488,36,173,160,779,422,290,628
---

经略,pos,5214,8,228,336,3352,812,286,192
缩,pos,4111,244,413,382,1024,867,584,597
迅,pos,1501,93,380,265,402,62,164,135
啬,pos,1251,257,149,116,397,97,81,154
节俭,pos,776,86,149,99,313,52,22,55
俭约,pos,646,46,98,132,278,40,20,32
节用,pos,515,76,52,38,237,47,24,41
务本,pos,406,45,61,41,141,23,63,32
约法,pos,287,28,69,44,105,18,8,15
爱物,pos,216,3,21,10,121,8,24,29
神速,pos,143,6,15,9,71,9,21,12
以逸待劳,pos,142,3,23,15,63,14,18,6
务实,pos,139,4,7,1,79,13,18,17
节约,pos,119,15,31,13,44,11,2,3
善断,pos,57,2,8,13,17,7,6,4
量入为出,pos,51,1,5,1,22,12,6,4
俭省,pos,26,1,2,2,11,2,1,7
废,nag,38498,3145,5226,6678,13583,4531,2005,3330
虚,nag,37211,3707,6412,4638,10981,2338,4837,4298
损,nag,18270,1264,2693,1999,6280,2859,2050,1125

奢侈,nag,736,125,114,92,314,40,21,30
浮华,nag,436,52,92,82,156,19,11,24
骄奢,nag,434,74,78,51,182,14,16,19
劳民,nag,345,28,43,6,131,55,40,42
徒劳,nag,301,1,48,34,137,12,38,31
废弃,nag,239,16,35,29,92,17,27,23
蹉跎,nag,229,5,19,31,67,20,56,31
糜费,nag,165,1,19,28,64,23,7,23
伤财,nag,133,3,25,7,56,10,20,12
旷日持久,nag,123,16,20,9,62,3,5,8
旷废,nag,82,5,9,8,46,9,1,4
劳而无功,nag,81,19,4,12,27,3,11,5
暴殄,nag,45,1,3,2,14,1,7,17
尾大不掉,nag,43,3,6,3,15,9,2,5
酒池肉林,nag,33,9,6,3,9,1,4,1
淫靡,nag,31,3,7,7,7,2,1,4
