劳,pos,29773,2552,4290,3443,11665,2061,3337,2425,（多义）
勤,pos,18368,905,3236,2590,7192,1086,1521,1838
笃,pos,9633,558,2284,1290,3264,504,706,1027
勉,pos,8795,574,989,933,3797,620,826,1056
毅,pos,7260,370,1105,1312,2713,588,427,745
坚,pos,20288,1717,2968,2759,7636,1210,2307,1691
恪,pos,4620,66,913,749,2029,262,266,335
励,pos,3768,72,347,611,1944,243,272,279
砺,pos,1785,91,153,113,866,333,107,122
瘁,pos,781,40,172,124,268,34,77,66
逸,nag,12936,588,2348,2324,4055,933,832,1856,（多义）
荒,nag,12854,838,2430,1716,3826,886,1422,1736,（多义）
旷,nag,6892,569,1684,1144,2121,365,515,494,（多义）
怠,nag,4069,572,558,550,1386,217,413,373
颓,nag,2650,99,643,431,841,132,252,252
懒,nag,2171,1,35,46,688,388,599,414
惰,nag,1963,217,216,178,804,191,150,207
懈,nag,1940,238,348,335,648,75,153,143
嬉,nag,1207,51,174,149,380,65,189,199
惫,nag,580,49,38,33,220,51,105,84
倦,nag,4440,343,572,580,1599,183,546,617
奋,pos,8760,702,1929,1100,3168,547,677,637,（多义）
恳,pos,3194,31,319,303,1659,223,338,321
---


磨,pos,7115,119,415,622,2902,681,1517,859
夙,pos,4923,366,1131,674,1763,231,329,429
研,pos,4869,65,802,450,656,134,2221,541
冶,pos,3579,329,524,431,1054,469,354,418
孜,pos,2345,63,153,229,1235,118,179,368
懋,pos,2278,36,270,267,674,122,161,748
不息,pos,2078,168,336,339,758,89,172,216
惕,pos,2039,171,307,242,709,240,89,281
勤劳,pos,941,127,97,86,436,52,77,66
不苟,pos,837,127,111,72,238,78,74,137
耘,pos,813,80,118,58,296,96,88,77
力行,pos,773,68,53,35,397,56,65,99
劬,pos,743,65,206,133,193,26,53,67
精进,pos,695,13,241,230,96,6,91,18
孜孜,pos,677,28,70,86,316,38,58,81
躬行,pos,573,43,67,42,225,57,43,96
自强,pos,567,37,65,69,177,82,47,90
敬业,pos,427,1,12,37,313,11,14,39
起舞,pos,405,53,36,49,181,22,31,33
夙兴,pos,402,68,74,67,118,34,20,21
不懈,pos,397,46,71,62,148,21,23,26
笃行,pos,373,36,60,25,136,19,30,67
负薪,pos,366,46,83,35,152,14,21,15
自制,pos,357,14,30,55,124,51,28,55
夕惕,pos,319,12,104,56,121,7,6,13
忘食,pos,298,29,54,37,133,7,8,30
旰食,pos,290,5,42,30,181,19,6,7
自励,pos,285,5,30,40,120,20,53,17
夜寐,pos,199,60,34,15,58,4,11,17
宵衣,pos,128,3,2,6,95,9,4,9
废寝,pos,114,1,17,18,35,13,16,14
闻鸡,pos,81,1,5,6,36,5,14,14
矻,pos,70,9,4,8,36,3,4,6
韦编,pos,57,4,10,10,13,3,12,5
攻苦,pos,56,10,2,1,15,8,4,16
坐以待旦,pos,50,2,9,6,20,1,4,8
自律,pos,36,3,3,4,11,9,4,2
矻矻,pos,31,4,2,4,16,1,1,3
凿壁,pos,29,1,4,4,9,3,4,4
苦读,pos,22,1,2,4,3,4,5,3




用心,nag,1784,125,162,176,681,108,314,218
因循,nag,1469,48,157,172,758,150,92,92
遨,nag,621,39,134,107,172,18,88,63
苟且,nag,520,24,47,56,215,52,45,81
懈怠,nag,380,25,75,129,89,7,43,12
饱食,nag,354,36,54,41,122,13,60,28
偷安,nag,293,5,41,24,165,27,18,13
素餐,nag,252,48,71,29,70,3,10,21
塞责,nag,250,33,16,12,114,15,10,50
蹉跎,nag,229,5,19,31,67,20,56,31
宴安,nag,229,6,55,38,79,25,8,18
嬉游,nag,218,8,36,22,67,7,38,40
荒废,nag,199,4,20,43,77,20,19,16
怠惰,nag,175,24,18,15,76,8,17,17
鸩毒,nag,157,9,32,46,41,7,12,10
游荡,nag,123,6,15,16,31,6,29,20
尸位,nag,52,9,9,1,15,5,4,9
好逸,nag,51,7,11,10,15,2,2,4
恶劳,nag,43,7,14,3,10,4,3,2
