敬,pos,42022,4121,6755,6573,15090,1769,2686,5028
谢,pos,35314,1650,5368,3767,12416,2613,5054,4446,（多义）
恭,pos,26213,1485,3980,3210,10489,2067,2311,2671
让,pos,19778,2261,3345,2528,6819,736,1682,2407,（多义）
谨,pos,17724,1525,2296,2284,7090,1347,1403,1779
慎,pos,16235,1989,2513,1769,5646,734,990,2594
谦,pos,12647,1239,2163,1696,4159,643,983,1764
轻,nag,39739,3419,5638,5099,13505,2882,4616,4580,（多义）
慢,nag,7804,459,758,701,2009,606,1498,1773,（多义）
骄,nag,7157,1179,958,675,3011,427,382,525
矜,nag,6683,504,1468,988,2686,237,315,485,（多义）
跋,nag,5722,51,941,873,1369,393,374,1721
傲,nag,2518,226,353,355,895,115,263,311
蔑,nag,1778,203,368,225,548,96,127,211
倨,nag,898,139,98,107,324,71,55,104
愎,nag,458,40,56,42,208,45,26,41
佻,nag,400,36,49,28,93,22,23,149,
恣,nag,5160,505,806,649,1912,356,442,490,
---
忝,pos,2320,51,655,357,967,53,141,96
先人,pos,2004,338,274,211,663,106,225,187
下士,pos,1998,394,166,491,479,175,128,165
挹,pos,1419,48,414,290,371,61,81,154
纳言,pos,995,46,139,251,491,39,11,18
恭敬,pos,990,119,144,241,213,16,113,144
虚心,pos,789,44,139,123,337,37,52,57
致敬,pos,577,36,155,136,169,33,26,22
不敢当,pos,547,70,52,48,223,32,41,81
从谏,pos,544,10,15,30,428,31,11,19
谦恭,pos,540,12,86,68,234,18,58,64
谦恭,pos,540,12,86,68,234,18,58,64
内省,pos,505,31,69,82,203,60,39,21
折节,pos,498,50,72,72,193,38,34,39
礼让,pos,485,71,105,63,179,18,19,30
礼遇,pos,476,5,55,109,230,42,27,8
谦让,pos,466,80,88,50,111,13,77,47
谨慎,pos,447,62,55,55,108,10,87,70
自省,pos,436,51,58,41,178,28,39,41
尊贤,pos,433,111,73,38,123,23,23,42
鄙人,pos,401,104,53,35,93,5,55,56
受教,pos,386,45,87,62,110,21,27,34
尊师,pos,384,36,29,41,149,36,60,33
瞻仰,pos,370,21,68,60,119,13,42,47
引咎,pos,367,3,48,33,207,40,9,27
恭顺,pos,333,7,34,14,158,37,20,63
礼贤,pos,313,11,66,37,102,23,27,47
彬彬,pos,264,28,58,26,66,18,26,42
浅陋,pos,263,7,10,10,94,29,13,100
重道,pos,253,10,31,42,66,21,65,18
避席,pos,242,63,30,33,81,9,18,8
客气,pos,240,14,11,5,20,5,14,171
敬慎,pos,237,40,57,32,69,6,15,18
菲薄,pos,206,14,66,25,68,7,13,13
洗耳,pos,192,8,51,37,50,2,28,16
谦逊,pos,187,17,8,13,61,11,24,53
谦虚,pos,168,14,58,28,53,2,5,8
管窥,pos,168,7,38,19,40,4,9,51
肃敬,pos,160,39,28,16,51,9,4,13
推功,pos,137,7,19,33,59,7,4,8
诚惶诚恐,pos,132,2,29,33,45,3,9,11
引过,pos,132,14,19,13,63,5,9,9
谦冲,pos,127,1,32,36,52,3,2,1
后己,pos,104,24,19,17,24,7,7,6
敬老,pos,93,22,8,4,24,2,5,28
有若无,pos,66,12,17,4,12,2,3,16
负荆,pos,59,6,5,4,11,6,11,16
虚左,pos,44,4,8,5,15,3,4,5
犯而不校,pos,39,3,13,1,14,2,2,4



僭,nag,5530,307,873,680,2478,542,263,387
虐,nag,4653,529,922,564,1573,267,306,492
渎,nag,4163,373,799,514,1138,521,398,420
夸,nag,3479,239,405,392,947,210,637,649
侮,nag,3260,385,528,350,1276,196,257,268
扈,nag,3210,323,334,245,1141,420,400,347
悍,nag,2134,236,211,180,821,238,173,275
自得,nag,2113,185,361,298,599,105,230,335
横行,nag,1724,190,220,154,600,274,118,168
横行,nag,1724,190,220,154,600,274,118,168
自大,nag,1110,62,143,123,405,136,116,125
自用,nag,865,78,67,60,311,77,132,140
亵,nag,856,42,64,128,209,76,122,215
自矜,nag,615,44,93,126,250,19,36,47
跋扈,nag,537,8,82,56,253,73,32,33
骜,nag,466,135,43,32,160,45,16,35
自专,nag,444,60,58,41,165,26,40,54
骄奢,nag,434,74,78,51,182,14,16,19
放纵,nag,434,52,103,60,156,15,19,29
犯上,nag,432,32,65,36,116,75,46,62
猖狂,nag,399,9,71,48,162,9,49,51
怠慢,nag,359,32,35,17,44,17,134,80
狂妄,nag,271,19,11,5,147,27,30,32
骄傲,nag,260,24,20,40,88,6,18,64
骄傲,nag,260,24,20,40,88,6,18,64
刚愎,nag,224,8,38,24,98,24,6,26
刚愎,nag,224,8,38,24,98,24,6,26
轻慢,nag,218,5,46,52,49,2,38,26
侮慢,nag,210,16,39,24,94,5,20,12
傲慢,nag,178,12,24,32,50,10,24,26
傲慢,nag,178,12,24,32,50,10,24,26
放肆,nag,178,3,19,9,64,3,25,55
显扬,nag,144,14,22,34,54,4,8,8
矜伐,nag,144,4,19,32,78,3,3,5
倨傲,nag,141,13,26,23,46,9,14,10
不自量,nag,140,12,29,11,53,4,15,16
暴戾,nag,129,20,25,12,37,13,5,17
矜夸,nag,116,7,25,26,43,1,10,4
不知量,nag,62,5,15,5,14,1,8,14
矜贵,nag,18,1,1,4,5,1,1,5
