敢,pos,60608,6448,6002,4858,23742,3915,8451,7192
勇,pos,17894,1783,2018,2202,7066,1719,1673,1433
猛,pos,9636,631,1458,1772,2958,1013,1165,639
骁,pos,5065,54,596,858,2546,574,263,174
胆,pos,5023,190,521,406,1099,186,1870,751
悍,pos,2134,236,211,180,821,238,173,275
恐,nag,40832,4004,4632,3597,17274,2492,4437,4396
惧,nag,25949,2114,4209,3399,11169,1319,1699,2040
惊,nag,24428,1214,2678,2524,7741,974,5443,3854
畏,nag,18145,2326,2546,1723,7363,1272,1474,1441
溃,nag,6512,359,630,723,2804,842,606,548
惮,nag,5803,351,800,908,2655,403,308,378
栗,nag,4727,674,711,636,1494,317,466,429,（多义）
怯,nag,3423,246,291,220,1135,189,942,400
懦,nag,1814,108,234,178,847,185,141,121
馁,nag,1156,89,91,115,561,65,107,128
怵,nag,646,130,110,71,160,30,30,115
惴,nag,593,46,75,56,202,47,70,97,
屈,nag,16635,1692,2976,2338,5522,1064,1351,1692,（多义）

---

豪杰,pos,1709,106,194,92,611,159,283,264
义士,pos,1079,28,174,102,365,108,213,89
骁勇,pos,925,1,52,162,488,70,108,44
勇士,pos,828,162,96,86,294,46,69,75
威武,pos,824,79,115,73,329,60,84,84
殊死,pos,701,36,131,92,270,94,24,54
鹰扬,pos,608,8,128,146,211,47,39,29
烈士,pos,547,45,138,95,184,21,35,29
死士,pos,524,59,43,28,213,85,53,43
勇敢,pos,466,57,18,41,212,70,34,34
果敢,pos,444,96,40,38,184,38,12,36
果敢,pos,444,96,40,38,184,38,12,36
无畏,pos,435,29,86,105,138,11,36,30
盖世,pos,367,20,59,42,77,17,61,91
勇猛,pos,366,45,52,72,87,16,71,23
胆气,pos,289,4,29,62,117,12,47,18
强梁,pos,217,26,44,35,52,13,22,25
勇悍,pos,212,29,10,15,101,32,12,13
雄杰,pos,204,2,39,50,85,8,10,10
视死如归,pos,202,20,36,44,58,12,10,22
视死如归,pos,202,20,36,44,58,12,10,22
桓桓,pos,192,21,63,28,43,6,9,22
猛士,pos,175,9,32,22,81,8,15,8
勇为,pos,168,9,16,21,78,22,9,13
干城,pos,162,12,28,18,64,11,17,12
貔貅,pos,157,5,13,20,56,17,30,16
勇决,pos,154,2,11,39,84,5,10,3
勇气,pos,140,12,19,24,57,8,11,9
勇冠三军,pos,128,1,23,24,71,2,5,2
奋勇,pos,125,2,4,10,24,7,55,23
奋不顾身,pos,121,7,9,8,70,11,9,7
赳赳,pos,117,18,17,16,28,1,17,20
拔山,pos,114,8,21,13,46,3,10,13
勇武,pos,97,18,16,21,24,4,12,2
犯难,pos,93,18,16,11,34,2,4,8
万人敌,pos,72,4,3,10,38,5,7,5
刚勇,pos,55,6,6,5,19,4,13,2
疑,nag,42992,3153,7028,5653,13507,2449,3760,7442
恐,nag,40832,4004,4632,3597,17274,2492,4437,4396
退,nag,38761,2533,4406,4915,14741,4515,4171,3480
丧,nag,35185,3329,6279,7349,10301,2892,1841,3194
惧,nag,25949,2114,4209,3399,11169,1319,1699,2040
惊,nag,24428,1214,2678,2524,7741,974,5443,3854
避,nag,19571,1462,2552,2546,7262,1667,1843,2239
弱,nag,18200,2626,3694,2245,5549,1109,1324,1653
畏,nag,18145,2326,2546,1723,7363,1272,1474,1441
忌,nag,13008,1314,1719,1480,5121,890,1304,1180
逃,nag,12285,885,1401,1195,4404,933,1945,1522
遁,nag,8327,351,1024,1128,3215,1008,784,817
溃,nag,6512,359,630,723,2804,842,606,548
骇,nag,5918,394,803,691,2214,313,471,1032
惮,nag,5803,351,800,908,2655,403,308,378
栗,nag,4727,674,711,636,1494,317,466,429
缩,nag,4111,244,413,382,1024,867,584,597
怯,nag,3423,246,291,220,1135,189,942,400
慌,nag,2969,26,40,19,18,28,1989,849
怖,nag,2900,116,845,726,759,75,155,224
懦,nag,1814,108,234,178,847,185,141,121
恐惧,nag,1537,207,192,127,625,59,87,240
馁,nag,1156,89,91,115,561,65,107,128
慑,nag,1011,98,188,150,368,53,63,91
惊恐,nag,662,94,76,70,194,12,170,46
惊恐,nag,662,94,76,70,194,12,170,46
怵,nag,646,130,110,71,160,30,30,115
惊骇,nag,644,82,47,68,286,20,82,59
寒心,nag,634,74,110,75,240,31,55,49
瓦解,nag,539,70,129,72,165,21,44,38
畏惧,nag,484,76,67,52,189,23,35,42
怯懦,nag,400,16,24,52,232,40,16,20
怯懦,nag,400,16,24,52,232,40,16,20
震恐,nag,394,32,37,40,214,39,14,18
战栗,nag,376,64,63,57,87,10,30,65
颤,nag,312,6,8,21,21,8,113,135
逃避,nag,252,5,32,30,103,24,31,27
奔北,nag,239,24,65,30,84,23,10,3
股栗,nag,185,9,5,25,99,20,9,18
恇,nag,155,5,56,31,30,12,8,13
鸟散,nag,102,7,24,14,39,2,8,8
鼠窜,nag,82,4,5,2,15,6,31,19
慑服,nag,69,5,11,7,32,6,4,4
首鼠两端,nag,54,4,10,6,18,4,2,10
畏首畏尾,nag,50,4,10,6,16,4,2,8
畏首畏尾,nag,50,4,10,6,16,4,2,8
